"Name"	"Strain"
"Corallomonas stylophorae"	"KTSW-6"
"Parvibaculum hydrocarboniclasticum"	"EPR92"
"Pseudahrensia aquimaris"	"HDW-32"
"Bacillus daliensis"	"DLS13"
"Carboxydocella manganica"	"SLM 61"
"Virgibacillus campisalis"	"IDS-20"
"Brassicibacter mesophilus"	"BM"
"Pseudorhodoferax aquiterrae"	"NAFc-7"
"Delftia litopenaei"	"wsw-7"
"Caloramator mitchellensis"	"VF08T "
"Halomonas ramblicola"	"RS-16"
"Nocardioides Alpinus "	"Cr7-14"
"Arthrobacter cryoconiti"	"Cr6-08"
"Alpinimonas psychrophila"	"Cr8-25"
"Arthrobacter siccitolerans"	"4J27"
"Chungangia koreensis"	"9163"
"Enterococcus lactis"	"BT159"
"Sporosarcina newyorkensis"	"6062"
"Mycobacterium litorale"	"F4"
"Streptococcus dentisani"	"7747T"
"Rhodobacter viridis"	"JA737"
"Silanimonas mangrovi"	"AK13"
"Lactobacillus hominis"	"61D"
"Budvicia diplopodorum"	"D9"
"Gordonia phosphorivorans"	"Ca8"
"Gordonia phosphorivorans"	"Ca14"
"Citeromyces nyonsensis"	"CLIB 1303"
"Weissella fabalis"	"M75"
"Streptomyces atacamensis"	"C60"
"Lysinibacillus meyeri"	"WS 4626"
"Virgibacillus halotolerans"	"WS 4627"
"Domibacillus robiginosus"	"WS 4628"
"Arsenicicoccus dermatophilus"	"KM894/11"
"Pseudarcicella hirudinis"	"E92"
"Microbacterium murale"	" 01-Gi-001"
"Actibacterium mucosum"	"R46"
"Fonticella tunisiensis"	"BELH25"
"Herminiimonas contaminans"	"CCUG 53591"
"Aeromonas australiensis"	"266"
"Alicyclobacillus consociatus"	"CCUG 53762"
"Lactobacillus porcinae"	"LMG 26767"
"Sphingopyxis italica"	"SC13E-S71"
"Paenibacillus vulneris"	"CCUG 53270"
"Derxia lacustris"	"HL-12"
"Geodermatophilus normandii"	"CF5/3"
"Phaeobacter leonis"	"306"
"Falsirhodobacter halotolerans"	"JA744"
"Myroides guanonis"	"IM13"
"Erythrobacter odishensis"	"JA747"
"Pontibacter odishensis"	"JC130"
"Cohaesibacter haloalkalitolerans"	"JC131"
"Tamlicoccus marinus"	"MSW-24"
"Fluviimonas pallidilutea"	"TQQ6"
"Lacibacterium aquatile"	"LTC-2"
"Methylomonas paludis"	"MG30"
"Nocardioides albertanoniae"	"CD40127"
"Vallitalea guaymasensis"	"Ra1766G1"
"Spirochaeta sphaeroplastigenens"	"JC133"
"Cecembia calidifontis"	"RQ-33"
"Geodermatophilus telluris"	"CF9/1/1"
"Mesotoga infera"	"VNs100"
"Vogesella alkaliphila"	"JC141"
"Sphingomonas canadensis"	"FWC47"
"Burkholderia terrestris"	"LMG 22937"
"Burkholderia humi"	"LMG 22934"
"Burkholderia telluris"	"LMG 22936"
"Corynebacterium frankenforstense"	"ST18"
"Corynebacterium lactis"	"RW2-5"
"Flavobacterium aquaticum"	"JC164"
"Litoribacter alkaliphilus"	"JC166"
"Mongoliicoccus alkaliphilus"	"JC165"
"Burkholderia sprentiae"	"WSM5005"
"Moorella stamsii"	"E3-O"
"Methanospirillum  Methanospirillum stamsii"	"Pt1"
"Humibacter antri"	"D7-27"
"Spelaeicoccus albus"	"D3-40"
"Mycobacterium bourgelatii"	"MLB-A84"
"Pseudomonas guariconensis"	"PCAVU11"
"Lactobacillus mudanjiangensis"	"11050"
"Lactobacillus songhuajiangensis"	"Jul-19"
"Lactobacillus nenjiangensis"	"11102"
"Bacillus Bacillus pervagus"	" 8-4-E12"
"Bacillus Bacillus andreesenii"	"8-4-E13"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani "	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus  dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747T"
"Streptococcus Streptococcus dentisani"	"7747"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	NA
"Streptococcus dentisani"	"7746"
"Streptococcus dentisani"	"7747T"
"Streptococcus dentisani"	"7747"
"Methylophilus glucosoxydans"	"B"
"Inhella fonticola"	"TNR-25"
"Altererythrobacter xinjiangensis"	"S3-63"
"Iodobacter limnosediminis"	"E1"
"Bacillus eiseniae"	"A1-2"
"Oceanicaulis stylophorae"	"GISW-4"
"Vibrio marisflavi"	"WH134T"
"Phenylobacterium muchangponense"	"A8"
"Acinetobacter indicus"	"A648"
"Pedobacter Arcticus"	"A12"
"Amphibacillus cookii"	" JW/BP-GSL-QD"
"Stomatobaculum longum"	"DSM 24645"
"Massilia tieshanensis"	"TS3"
"Salinisphaera orenii"	"MK-B5"
"Mongoliitalea lutea"	"MIM18"
"Fodinibius salinus"	"YIM D17"
"Halosimplex Halosimplex pelagicum"	"R2"
"Halosimplex Halosimplex pelagicum"	"R2"
"Halosimplex Halosimplex eubrum"	"R27"
"Marinoscillum luteum"	"SJP7"
"Sphingomonas formosensis"	"CC-Nfb-2"
"Chryseobacterium vietnamense"	"GIMN1.005"
"Pectinatus brassicae"	"TY"
"Psychrobacter sanguinis"	"13983"
"Deinococcus reticulitermitis"	"TM-1"
"Mesonia ostreae"	"T-y2"
"Lutibacter Aestuarii"	"MA-My1"
"Halomonas smyrnensis"	"AAD21"
"Muricauda beolgyonensis"	"BB-My12"
"Burkholderia symbiotica"	"JPY-345"
"Arcicella rigui"	"NSW-5"
"Arcicella rigui"	"NSW-5"
"Microvirga lotononidis"	"WSM3557"
"Microvirga zambiensis"	"WSM3693"
"Burkholderia diazotrophica"	"JPY461"
"Winogradskyella Aquimaris"	"DPG-24"
"Rhizobium tarimense"	"PL-41"
"Lactobacillus xiangfangensis"	"3.1.1"
"Leuconostoc mesenteroides"	"LMG 8159"
"Nocardia amikacinitolerans"	"W9988"
"Streptomyces kebangsaanensis"	"SUK12"
"Devosia glacialis"	"Cr4-44"
"Flavivirga Amylovorans"	"JC2681"
"Flavivirga jejuensis"	"JC2682"
"Staphylococcus agnetis"	"06/04/14"
"Aequorivita viscosa"	"8-1b"
"Polaromonas cryoconiti"	"Cr4-35"
"Polaromonas glacialis"	"Cr4-12"
"Helicobacter heilmannii"	"ASB1"
"Blautia stercoris"	"GAM6-1"
"Blautia faecis"	"M25"
"Otariodibacter oris"	"Baika1"
"Mucilaginibacter angelicae"	"GG-w14"
"Sphingomonas endophytica"	"YIM 65583"
"Pedobacter boryungensis"	"BR-9"
"Streptomyces gramineus"	"JR-43"
"Catenulispora graminis"	"BR-34"
"Thalassobius maritimus"	"GSW-M6"
"Sphingobium jiangsuense"	"BA-3"
"Desulfobulbus alkaliphilus"	"APS1"
"Cesiribacter roseus"	"311"
"Pedobacter ginsengiterrae"	"DCY49"
"Flavobacterium ginsengisoli"	"DCY54"
"Rhizobium taibaishanense"	"CCNWSX 0483"
"Brevundimonas viscosa"	"F3"
"Massilia flava"	"Y9"
"Martelella endophytica"	"YC6887"
"Hoeflea suaedae"	"YC6898"
"Burkholderia zhejiangensis"	"OP-1"
"Thermosyntropha tengcongensis"	"L-60"
"Starmerella jinningensis"	"Ym24410"
"Celeribacter baekdonensis"	"L-6"
"Aquimarina gracilis"	"PSC32"
"Aquimarina mytili"	"PSC33"
"Mycobacterium iranicum"	"M05"
"Defluviitalea saccharophila"	"LIND6LT2"
"Macellibacteroides fermentans"	"LIND7H"
"Methanobacterium lacus"	"17A1"
"Rheinheimera tilapiae"	"Ruye-90"
"Flavobacterium tilapiae"	"Ruye-71"
"Gemmobacter tilapiae"	"Ruye-53"
"Erythrobacter marinus"	"HWDM-33"
"Xenorhabdus khoisanae"	"SF87"
"Mariniflexile Aquimaris"	"HWR-17"
"Nocardia goodfellowii"	"A2012"
"Nocardia thraciensis"	"A2019"
"Actinoplanes Abujensis"	"A4029"
"Nonomuraea jabiensis"	"A4036"
"Actinomadura geliboluensis"	"A8036"
"Amycolatopsis magusensis"	"KT2025"
"Williamsia limnetica"	"L1505"
"Ruegeria conchae"	"TW15"
"Oceanisphaera sediminis"	"TW92"
"Knoellia locipacati"	"DMZ1"
"Alkalitalea saponilacus"	"SC/BZ-SP2"
"Halovenus Aranensis"	"EB27"
"Salinibacter iranicus"	"CB7"
"Salinibacter luteus"	"DGO"
"Marinobacter xestospongiae"	"UST090418-1611"
"Erythrobacter pelagi"	"UST081027-248"
"Intrasporangium mesophilum"	"YIM 49065"
"Halomicrobium zhouii"	"TBN51"
"Microbacterium sediminis"	"YLB-o1"
"Isoptericola nanjingensis"	"H17"
"Pontibacter populi"	"HYL7-15"
"Bacillus ginsengisoli"	"DCY53"
"Longimycelium tulufanense"	"TRM 46004"
"Bradyrhizobium daqingense"	"CCBAU15774"
"Bradyrhizobium huanghuaihaiense"	"CCBAU 23303"
"Dyella jiangningensis"	"SBZ3-12"
"Brevibacterium daeguense"	"2C6-41"
"Georgenia daeguensis"	"2C6-43"
"Nocardioides daeguensis"	"2C1-5"
"Corallibacter vietnamensis"	"KMM 6217"
"Leuconostoc miyukkimchii"	"M2"
"Pseudoclavibacter caeni"	"MJ28"
"Gulosibacter chungangensis"	"CAU 9625"
"Rosenbergiella nectarea"	"8N4"
"Streptomyces aidingensis"	"TRM 46012"
"Riemerella columbipharyngis"	"8151"
"Eilatimonas milleporae"	"MD2"
"Cohnella Arctica"	"M9-62"
"Lysobacter Arseniciresistens"	"ZS79"
"Skermanella stibiiresistens"	"SB22"
"Mesorhizobium muleiense"	" CCBAU 83963"
"Natranaerobaculum magadiense"	"Z-1001"
"Lactobacillus futsaii"	"YM 0097"
"Mongoliicoccus roseus"	"MIM28"
"Flavobacterium ummariense"	"DS-12"
"Streptococcus hongkongensis"	"HKU30"
"Paracoccus limosus"	"NB88"
"Postechiella marina"	"M091"
"Winogradskyella damuponensis"	"F081-2"
"Sagittula marina"	"F028-2"
"Psychroserpens damuponensis"	"F051-1"
"Phorcysia thermohydrogeniphila"	"HB-8"
"Kangiella geojedonensis"	"YCS-5"
"Tropicimonas Aquimaris"	"DPG-21"
"Melghirimyces Algeriensis"	"NariEX"
"Variovorax defluvii"	"2C1-b"
"Kribbella endophytica"	"PIP 118"
"Legionella steelei"	"IMVS-3376"
"Saccharothrix hoggarensis"	"SA181"
"Knoellia flava"	"TL1"
"Tenacibaculum geojense"	"YCS-6"
"Algoriphagus namhaensis"	"DPG-3"
"Marinivirga aestuarii"	"KYW371"
"Flammeovirga pacifica"	"WPAGA1"
"Brevibacillus Aydinogluensis"	"PDF25"
"Microbulbifer mangrovi"	"DD13"
"Saliterribacillus persicus"	"X4B"
"Ornithinibacillus halophilus"	"G8B"
"Bacillus halosaccharovorans"	"E33"
"Alteribacillus bidgolensis"	"P4B"
"Bacillus salsus"	"A24"
"Bacillus persicus"	"B48"
"Phaeocystidibacter luteus"	"PG2S01"
"Flavobacterium xueshanense"	"Sr22"
"Flavobacterium urumqiense"	"Sr25"
"Terriglobus aquaticus"	"03SUJ4"
"Roseomonas riguiloci"	"03SU10-P"
"Amycolatopsis salitolerans"	"TRM F103"
"Sphingomonas cynarae"	"SPC-1"
"Gracilibacillus kekensis"	"K170"
"Sphingomonas indica"	"Dd16"
"Halobellus salinus"	"CSW2.24.4"
"Mucilaginibacter lutimaris"	"BR-3"
"Winogradskyella ulvae"	"KMM 6390"
"Anaerosalibacter bizertensis"	"C5BEL"
"Aliidiomarina Taiwanensis"	"AIT1"
"Sandaracinus Amylolyticus"	"NOSO-4"
"Brockia lithotrophica"	"Kam1851"
"Streptomyces glycovorans"	"YIM M 10366"
"Streptomyces xishensis"	"YIM M 10378"
"Streptomyces Abyssalis"	"YIM M 10400"
"Candida tocantinsensis"	"UFMG=F16D1"
"Wickerhamiella pagnoccae"	"UFMG-F18C1"
"Extensimonas vulgaris"	"S4"
"Cellulophaga geojensis"	"M-M6"
"Jannaschia Aquimarina"	"GSW-M26"
"Planobispora siamensis"	"A-T 4600"
"Sinomonas soli"	"CW 59"
"Microbacterium Amylolyticum"	"N5"
"Corynebacterium deserti"	"GIMN1.010"
"Roseivivax sediminis"	"YIM D21"
"Kazachstania ichnusensis"	"LCF 1675"
"Oceanitalea nanhaiensis"	"JLT1488"
"Belnapia rosea"	"CPCC 100156"
"Paenibacillus catalpae"	"D75"
"Arthrobacter cupressi"	"D48"
"Streptomyces qinglanensis"	"172205"
"Sphingobium fontiphilum"	"Chen16-4"
"Amycolatopsis ruanii"	"NMG112"
"Amycolatopsis thermalba"	"SF45"
"Sinobacterium caligoides"	"SCSWE24"
"Granulicella Arctica"	"MP5ACTX2"
"Granulicella mallensis"	"MP5ACTX8"
"Granulicella tundricola"	"MP5ACTX9"
"Granulicella sapmiensis"	"S6CTX5A"
"Palaeococcus pacificus"	"DY20341"
"Desulfobaculum xiamenensis"	"P1"
"Mangroviflexus xiamenensis"	"P2"
"Arenimonas metalli"	"CF5-1"
"Cellulomonas carbonis"	"T26"
"Cohnella cellulosilytica"	"FCN3-3"
"Micromonospora maritima"	"D10-9-5"
"Albidovulum xiamenense"	"YBY-7"
"Pleomorphobacterium xiamenense"	"CLW"
"Actinotalea ferrariae"	"CF5-4"
"Rhizobium skierniewicense"	"Ch11"
"Fuchsiella Alkaliacetigena"	"Z-7100"
"Herbaspirillum canariense"	"SUEMI03"
"Herbaspirillum Aurantiacum"	"SUEMI08"
"Herbaspirillum soli"	"SUEMI10"
"Gryllotalpicola kribbensis"	"PU-02"
"Gryllotalpicola koreensis"	"RU-16"
"Massilia lurida"	"D5"
"Friedmanniella flava"	"W6"
"Actinoplanes Atraurantiacus"	"Y16"
"Cryobacterium luteum"	"Hh15"
"Cryobacterium flavum"	"Hh8"
"Enterococcus plantarum"	"CCM 7889"
"Olivibacter jilunii"	"14-2A"
"Ruegeria halocynthiae"	"MA1-6"
"Polaribacter sejongensis"	"KOPRI 21160"
"Luteimonas cucumeris"	"Y4"
"Lachnoanaerobaculum orale"	"N1"
"Salimesophilobacter vulgaris"	"Zn2"
"Humitalea rosea"	"W37"
"Pedobacter ruber"	"W1"
"Methanomassiliicoccus luminyensis"	"B10"
"Lactobacillus kimchiensis"	"L133"
"Metallibacterium scheffleri"	"DKE6"
"Mycetocola miduiensis"	"MD-T1-10-2"
"Actinopolyspora mzabensis"	"H55"
"Marivita hallyeonensis"	"DPG-28"
"Youngiibacter Youngiibacter fragilis"	"232.1"
"Caloribacterium cisternae"	"SGL43"
"Cryobacterium levicorallinum"	"Hh34"
"Mycobacteriium parakoreense"	"299"
"Mycobacterium koreense"	"01-305"
"Actinomadura sediminis"	"YIM M 10931"
"Pectinatus sottacetonis"	"FSRU B0405"
"Haloarchaeobius iranensis"	"EB21"
"Pantoea rodasii"	"LMG 26273"
"Vibrio alfacsensis"	"CAIM 1831"
"Flavobacterium jumunjinense"	"HME7102"
"Methylophaga lonarensis"	"MPL"
"Salinimicrobium gaetbulicola"	"BB-My20"
"Thermosulfurimonas dismutans"	"S95"
"Barrientosiimonas humi"	"39"
"Cellulomonas marina"	"FXJ8.089"
"Lactobacillus heilongjiangensis"	"S4-3"
"Streptococcus troglodytidis"	"M09-11185"
"Rhizobium mesoamericanum"	"CCGE 501"
"Rhizobium grahamii"	"CCGE 502"
"Streptomyces heilongjiangensis"	"NEAU-W2"
"Pseudomonas formosensis"	"CC-CY503"
"Enteractinococcus coprophilus"	"YIM 100590"
"Mucilaginibacter soli"	"R9-65"
"Chitiniphaga oryziterrae"	"YC7001"
"Kordiimonas aestuarii"	"101-1"
"Muricauda taeanensis"	"105"
"Roseovarius lutimaris"	"112"
"Pseudogulbenkiania gefcensis"	"yH16"
"Sphingobacterium nematocida"	"M-SX 103"
"Mycobacterium yongonense"	"05-1390"
"Hydrotalea sandarakina"	"AF-51"
"Gaetbulibacter lutimaris"	"D1-y4"
"Nonomuraea soli"	"YIM 120770"
"Planococcus halocryophilus"	"Or1"
"Neptunomonas qingdaonensis"	"P10-2-4"
"Neptunomonas concharum"	"LHW37"
"Blastopirellula cremea"	"LHWP2"
"Tropicimonas sediminicola"	"M97"
"Pelosinus defluvii"	"SHI-1"
"Nocardioides szechwanensis"	"RHLT1-17"
"Nocardioides psychrotolerans"	"RHLT2-1"
"Oscillibacter ruminantium"	"GH1"
"Aestuariibaculum suncheonense"	"SC17"
"Shewanella aestuarii"	"SC18"
"Microbulbifer gwangyangensis"	"GY2"
"Gramella aestuarii"	"BS12"
"Altererythrobacter gangjinensis"	"KJ7"
"Arenibacter hampyeongensis"	"HP12"
"Exiguobacterium Aquaticum"	" IMTB-3094"
"Planococcus plakortidis"	"AS/ASP6"
"Profundibacterium mesophilum"	"KAUST100406-0324"
"Legionella massiliensis"	"LegA"
"Massilia namucuonensis"	"333-1-0411"
"Deferrisoma camini"	"S3R1"
"Terrimnas rubra"	"M-8"
"Gordonia caeni"	"MJ32"
"Deinococcus daejeonensis"	"MJ27"
"Jeongeupia chitinilytica"	"Jchi"
"Desulfosporosinus burensis"	"BSREI1"
"Kistimonas scapharcae"	"A36"
"Paenibacillus oceanisediminis"	"L10"
"Methanosarcina soligelidi"	"SMA-21"
"Flavobacterium anatoliense"	"MK3"
"Flavobacterium rakeshii"	"FCS-5"
"Legionella cardiaca"	"H63"
"Terrimonas pekingensis"	"QH"
"Micromonospora equina"	"Y22"
"Kutzneria buriramensis"	"A-T 1846"
"Nocardioides daejeonensis"	"MJ31"
"Brevibacterium ammoniilyticum"	"A1"
"Streptomyces ziwulingensis"	"F22"
"Helopenitus persicus"	"DC30"
"Mucilaginibacter litoreus"	"BR-18"
"Compostimonas suwonensis"	"SMC 46"
"Haloferula chungangensis"	"CAU 1074"
"Streptococcus tigurinus"	"AZ_3a"
"Actinokineospora soli"	"YIM 75948"
"Marininema mesophilum"	"SCSIO 10219"
"Nocardiopsis coralliicola"	"SCSIO 10427"
"Gordonia alkaliphila"	"CJ10"
"Sphingobacterium detergens"	"6.2S"
"Salinisphaera halophila"	"YIM 95161"
"Litoreibacter meonggei"	"Ma1-1"
"Parabacteroides chartae"	"NS31-3"
"Geodermatophilus soli "	"PB34"
"Geodermatophilus terrae"	"PB261"
"Arenimonas daechungensis"	"CH15-1"
"Aquihabitans daechungensis"	"CH22-21"
"Namhaeicola litoreus"	"DPG-25"
"Bacillus songklensis"	"CAU 1033"
"Maribacter chungangensis"	"CAU 1044"
"Kribbella shirazensis"	"UTMC 693"
"Pasteurella oralis"	"P683"
"Streptomyces chilikensis"	"RC 1830"
"Marinomonas hwangdonensis"	"HDW-15"
"Hymenobacter ginsengisoli"	"DCY57"
"Staphylococcus jettensis"	"SEQ110"
"Listeria fleischmannii"	"LU2006-1"
"Listeria  fleischmannii"	"LU2006-1"
"Neisseria oralis"	"6332"
"Gemmobacter lanyuensis"	"Orc-4"
"Seleniivibrio woodruffii"	"S4"
"Aquimarina longa"	"SW024"
"Chromobacterium vaccinii"	"MWU205"
"Lactobacillus yonginensis"	"THK-V8"
"Rhodococcus canchipurensis"	"MBRL 353"
"Muricauda antarctica"	"Ar-22"
"Pseudovibrio axinellae"	"Ad2"
"Belnapia soli"	"PB-K8"
"Lentisphaera marina"	"IMCC11369"
"Legionella tunisiensis"	"LegM"
"Chryseobacterium gwangjuense"	"THG-A18"
"Sphingomonas kyungheensis"	"THG-B283"
"Pseudonocardia antitumoralis"	"SCSIO 01299"
"Microbacterium lemovicicum"	"ViU22"
"Pseudorhodobacter wandonensis"	"WT-MW11"
"Pseudorhodobacter antarcticus"	"ZS3-33"
"Burkholderia grimmiae"	"R27"
"Thermocatellispora tengchongensis"	"YIM 77521"
"Vogesella fluminis"	"Npb-07"
"Lysinimonas soli"	"SGM3-12"
"Sphingorhabdus  planktonica"	"G1A_585"
"Halanaerobium sehlinense"	"1Sehel"
"Herbaspirillum psychrotolerans"	"PB1"
"Chryseobacterium frigidisoli"	"PB4"
"Novosphingobium fuchskuhlense"	"FNE08-7"
"Novosphingobium aquaticum"	"FNE08-86"
"Microbacterium neimengense"	"7087"
"Pseudomonas zeshuii"	"BY-1"
"Fontimonas thermophila"	"HA-01"
"Algoriphagus zhangzhouensis"	"12C11"
"Muricauda zhangzhouensis"	"12C25"
"Brenneria goodwinii"	"FRB 141"
"Mycobacterium minnesotense"	"DL49"
"Kangiella marina"	"KM1"
"Kangiella taiwanensis"	"KT1"
"Micromonospora kangleipakensis"	"MBRL 34"
"Orbus sasakiae"	"C7"
"Pontibacter lucknowensis"	"DM9"
"Plasticicumulans  lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	NA
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	" YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans not yet known; article proposed:Plasticicumulans lactativoran"	"YDT (=DSM 25287T=NCCB 100398T )"
"Plasticicumulans lactativorans "	"YD"
"Plasticicumulans lactativorans"	"YDT"
"Plasticicumulans  lactativorans"	"YDT"
"Plasticicumulans lactativorans"	"YDT"
"Texcoconibacillus texcoconensis"	"13CC"
"Natronobacterium texcoconense"	"B23"
"Mycobacterium longobardum"	"FI-07034"
"Rhodococcus nanhaiensis"	"SCSIO 10187"
"Sphingobium limneticum"	"301"
"Sphingomonas starnbergensis"	"382"
"Sphingobium boeckii"	"469"
"Dyadobacter jejuensis"	"AM1R11"
"Pectobacterium aroidearum"	"SCRI 109"
"Limimonas halophila"	"IA16"
"Nibribacter koreensis"	"GSR3061"
"Hymenobacter koreensis"	"GYR3077"
"Hymenobacter saemangeumensis"	"GSR0100"
"Nibrella saemangeumensis"	"GCR0103"
"Nibrella viscosa"	"GYR3121"
"Pontibacter saemangeumensis"	"GCM0142"
"Luteolibacter luojiensis"	"DR4-30"
"Defluviimonas aestuarii"	"BS14"
"Maribacter aestuarii"	"GY20"
"Lactobacillus brantae"	"SL1108"
"Sphingobium czechense"	"LL01"
"Caloramator quimbayensis"	"USBA A"
"Caloramator quimbayensis"	"USBA A"
"Amycolatopsis dongchuanensis"	"YIM 75904"
"Paracoccus rhizosphaerae"	"CC-CCM15-8"
"Acinetobacter puyangensis"	"BQ4-1"
"Chitinophaga cymbidii"	"R156-2"
"Novosphingobium lindaniclasticum"	"LE124"
"Taonella mepensis"	"H1"
"Novosphingobium barchaimii"	"LL02"
"Sphingobium baderi"	"LL03"
"Mucilaginibacter herbaticus"	"DR-9"
"Toxopsis calypsus"	NA
"Luteivirga sdotyamensis"	"PIII.02"
"Fulvitalea axinellae"	"VI.18"
"Aureivirga marina"	"VIII.04"
"Coprobacter fastidiosus"	"NSB1"
"Flavobacterium aciduliphilum"	"JJ013"
"Tepidimonas fonticaldi"	"AT-A2"
"Streptococcus constellatus"	"SK1359"
"Streptococcus anginosus"	"CCUG 39159"
"Wickerhamiella goesii"	"IMUFRJ 52102"
"Flavobacterium enshiense"	"DK69"
"Planifilum composti"	"P8"
"Cohnella formosensis"	"CC-Alfalfa-35"
"Flaviflexus huanghaiensis"	"H5"
"Albimonas pacifica"	"P-50-3"
"Phyllobacterium endophyticum"	"PEPV15"
"Chryseobacterium ginsengisoli"	"DCY 63"
"Algibacter agarivorans"	"KYW560"
"Algibacter agarilyticus"	"KYW563"
"Lutibacter agarilyticus"	"KYW566"
"Idiomarina indica"	"SW104"
"Flavobacterium marinum"	"SW105"
"Nocardioides perillae"	"I10A-01402"
"Flavobacterium fontis"	"MIC3010"
"Paenalcaligenes hermetiae"	"KBL009"
"Loktanella litorea"	"DPG-5"
"Marivita geojedonensis"	"DPG-138"
"Bizionia hallyeonensis"	"T-y7"
"Pseudofulvibacter geojedonensis"	"YCS-9"
"Winogradskyella pulchriflava"	"EM106"
"Nafulsella turpanensis"	"ZLM-10"
"Epibacterium ulvae"	"U95"
"Chryseobacterium carnipullorum"	"9_R23581"
"Algoriphagus chungangensis"	"CAU 1002"
"Lechevalieria nigeriaca"	"NJ2035"
"Saccharomonospora amisosensis"	"DS3030"
"Amycolatopsis cihanbeyliensis"	"BNT52"
"Enterobacter sacchari"	"SP1"
"Flavobacterium noncentrifugens"	"R-HLS-17"
"Flavobacterium squillarum"	"CMJ-5"
"Hansschlegelia beijingensis"	"PG04"
"Thauera humireducens"	"SgZ-1"
"Alloprevotella rava"	"81/4-12"
"Marinicauda pacifica"	"P-1 km-3"
"Sphingobium cupriresistens"	"CU4"
"Sphingobium sufflavum"	"HL-25"
"Chryseobacterium rigui"	"CJ16"
"Nonomuraea solani"	"NEAU-Z6"
"Xiangella phaseoli"	"NEAU-J5"
"Galenea microaerophila"	"P2D"
"Actinoallomurus acanthiterrae"	"2614A723"
"Lactobacillus curieae"	"CCTCC M 2011381"
"Methylopila musalis"	"MUSA"
"Wickerhamiella dulcicola"	"UFMG-TOL15"
"Wickerhamiella cachassae"	"UFMG-D5L7"
"Flavobacterium akiainvivens"	"IK-1"
"Ciceribacter lividus"	"MSSRFBL1"
"Halobellus inordinatus"	"YC20"
"Algibacter aquimarinus"	"KYW589"
"Pseudomonas sagittaria"	"CC-OPY-1"
"Chryseobacterium taihuense"	"THMBM1"
"Lonsdalea quercina"	"NY060"
"Ornatilinea apprima"	"P3M-1"
"Huanghella arctica"	"R9-9"
"Allokutzneria multivorans"	"YIM 120521"
"Streptomyces yaanensis"	"Z4"
"Allonocardiopsis opalescens"	"I10A-01259"
"Kangiella sediminilitoris"	"BB-Mw22"
"Luteolibacter yonseiensis"	"EBTL01"
"Castellaniella hirudinis"	"E103"
"Olleya namhaensis"	"WT-MY15"
"Mesorhizobium qingshengii"	"CCBAU 33460"
"Dokdonella kunshanensis"	"DC-3"
"Pseudomonas punonensis"	"LMT03"
"Jatrophihabitans endophyticus"	"S9-650"
"Mesoaciditoga  lauensis"	"cd-1655R"
"Fontibacter ferrireducens"	"SgZ-2"
"Sinomicrobium oceani"	"SCSIO 03483"
"Alloscardovia macacae"	"M8"
"Arcticibacter svalbardensis"	"MN12-7"
"Paenibacillus taihuensis"	"THMBG22"
"Massilia yuzhufengensis"	"Y1243-1"
"Mycetocola zhadangensis"	"ZD1-4"
"Marinococcus tarijensis"	"SR-1"
"Dissulfuribacter thermophilus"	"S69"
"Undibacterium terreum"	"C3"
"Tumebacillus flagellatus"	"GST4"
"Photorhabdus luminescens"	"AM7"
"Winogradskyella litorisediminis"	"DPS-8"
"Endobacter medicaginis"	"M1MS02"
"Agromonas oligotrophica"	"LMG 10732"
"Micromonospora sonneratiae"	"274745"
